RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Y0,Y1,Z_cat,Z,D,D_cat
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,4027.673185940776,4118.8751124221635,0,1,1,0
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,674.3663954321567,779.2518605633367,0,0,0,0
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1939.3915329067909,2022.8342762305074,1,0,0,1
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,1629.3767686044655,1726.4667877482118,0,0,0,1
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,932.5025304400025,1026.3909839080645,1,1,1,0
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,2321.6981102970517,2422.6396558444153,0,0,0,1
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,3840.4313677160417,3933.95157417269,0,0,0,0
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,926.0266473948028,1046.0384901365335,0,0,0,0
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,4439.219801738656,4519.454715099972,0,0,0,0
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,3981.6052824810345,4071.965669225839,0,0,0,1
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,4080.1999434645822,4191.5348691687905,0,0,0,1
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,1769.3731275573753,1872.5671147273408,0,1,1,0
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,4877.654818725148,4974.064861240387,0,0,0,0
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,3806.8190641875876,3895.5936106933214,0,0,0,0
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,35.53767689446114,135.04306364255712,0,0,0,1
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,3932.1828657400542,4027.3636083286424,0,0,0,0
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,29.292742785533157,146.68058154760055,0,0,0,0
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,1585.4977331066427,1669.9069916143342,0,0,0,0
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,2640.921423512946,2753.0620184864183,1,0,0,0
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,3214.5520895835284,3327.3272584700803,0,0,0,0
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,3355.825437513094,3453.576161049712,1,0,0,0
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,3567.403718703156,3673.9640622475767,0,0,0,0
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,3565.423270369307,3679.9132013447615,1,1,1,1
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,3115.5092808732606,3210.9118769771108,1,0,0,1
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,3644.9233650817105,3739.882463687374,0,1,1,0
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,4223.72442843665,4307.230883618822,0,0,0,1
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,2053.9168025000886,2165.1779412117107,0,1,0,1
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,2853.421511274209,2960.748845955008,0,0,0,0
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,2612.3176240125445,2710.060370727603,0,0,0,1
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,4848.9450456244795,4941.769629841299,0,1,1,1
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,1629.26668745732,1737.6334913745638,0,0,0,1
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,555.2056701307923,651.644957155587,0,1,1,0
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,4097.113055868678,4208.230413290554,0,0,0,1
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,3624.9117791296535,3738.130028964979,1,1,1,1
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,2002.2616579638823,2106.502073691268,0,0,0,0
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,1769.0281788912732,1862.6087558294232,0,0,0,1
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,4476.248982820046,4574.7412858252255,0,0,0,0
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,714.3680626193981,821.3522394887225,0,0,0,0
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,537.9431719446632,640.6646373300599,0,0,0,0
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,1350.3486868584307,1432.6973055277574,0,0,0,1
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,1976.116207437202,2071.8357523455743,0,0,0,1
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,2502.6599154126134,2603.268586638872,1,0,0,1
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,2218.339511065625,2336.1912271973843,0,0,0,1
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,1017.2345519870232,1128.0198634750623,0,0,0,0
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,1279.9902102281233,1378.5993682761607,0,0,0,0
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,807.5698680432092,904.3603067224392,0,0,0,0
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,3243.0934971117526,3348.294051039774,0,0,0,0
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,1683.3567992547482,1777.1526713255914,0,0,0,0
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,3608.714042386251,3719.5196714856343,0,0,0,0
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0,-158.4415552934468,-76.08687753552977,0,0,0,1
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,3636.2948531265583,3732.032723797583,0,0,0,1
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,3449.309650362403,3552.720380837791,0,0,0,1
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,601.0858206464479,708.7473710357339,1,0,0,1
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,2967.5648613329727,3073.172173869891,0,1,1,0
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0,4329.09658456694,4410.34162442734,0,0,0,0
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,5251.602219532915,5346.923430034486,0,0,0,1
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0,4902.065050972313,5011.575254580488,0,0,0,0
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,3241.2969958078543,3322.0750730977256,0,0,0,1
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,1215.7338931014856,1323.762499517903,1,0,0,0
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,1282.0597228553468,1368.056012580042,1,0,0,1
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0,4895.113214692183,5006.062803865512,0,0,0,0
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,4126.935133468935,4222.186690182966,0,0,0,0
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0,3431.0696067700333,3534.824094534145,0,0,0,1
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,3431.1377380819195,3538.301041080829,0,0,0,1
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,320.04200506361457,411.360474588006,0,0,0,0
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0,1665.3719799881178,1756.6503326917832,0,0,0,0
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,4406.504976257013,4518.764271351184,0,0,0,1
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,1743.6916531717986,1850.9510304452065,0,0,0,0
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,3561.3188162526003,3671.342066164017,0,1,1,0
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,2407.6510326177113,2514.3593811710175,0,1,0,0
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,1769.600552029851,1842.5334162404165,1,0,0,1
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,969.4721810662837,1064.5697096705123,0,1,1,0
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,4512.71397453385,4612.672934671933,1,0,0,0
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0,3674.048472589211,3782.83937483235,0,0,0,0
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,4430.383323768424,4522.82780537172,0,1,1,1
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,2880.216509061482,2980.0242012547137,1,0,0,0
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,3473.9755786906067,3573.2712464872443,0,0,0,1
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,2231.6467659051377,2322.100670000274,0,0,0,0
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,4178.893826420278,4260.850719373393,0,0,0,0
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,2432.313564872937,2551.3847966242006,0,1,1,0
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,2595.197276614093,2667.432961009667,1,1,1,1
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0,788.128399299606,901.7464476671599,0,1,1,0
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,3069.113867414991,3168.142435295189,0,0,0,1
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,5090.032701542548,5195.710636036627,1,0,0,1
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,4270.671544496905,4380.859529394311,0,0,0,0
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,2813.7226654746883,2910.742854003584,0,0,0,0
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0,1744.1627918679023,1852.2043327518031,0,0,0,0
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,69.42746749259359,163.29134811532742,0,0,0,0
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0,3218.407069277321,3310.8929619691644,0,0,0,1
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,2833.0996943944187,2925.1936022607943,0,0,0,1
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,3112.2945930465226,3225.8098636662044,0,0,0,0
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,3150.7404648551565,3262.14887479751,0,0,0,0
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,3544.7174706561486,3637.924836763216,0,0,0,0
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0,2790.544054358822,2883.676870075765,0,0,0,0
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,3019.42179167985,3116.154508987406,0,0,0,0
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,3757.6676803796367,3865.8372103961933,0,0,0,0
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,2202.3705456498906,2309.0666366685127,0,1,1,0
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,2844.013755105999,2954.749249784268,0,0,0,0
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,3470.254954959303,3562.1696576568024,1,0,0,1
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,3894.6067638160234,3986.8519806399354,0,0,0,0
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,920.790609522474,1026.2900728885024,0,0,0,1
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,3221.449733721847,3314.3730996522063,0,0,0,0
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,4850.790580483952,4957.826363229834,0,0,0,0
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,3415.0414079538546,3512.8431652507884,0,0,0,1
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,192.44609486027633,276.394825768361,0,0,0,0
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,2574.2057559903765,2681.306368762927,0,0,0,0
175,15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,146457.83,0,4223.077889117153,4315.438223161235,0,0,0,0
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,1176.4791281511132,1275.63798576678,0,0,0,0
177,15645248,Ho,510,France,Female,30,0,0.0,2,1,1,130553.47,0,3684.507634992484,3767.779954918524,0,0,0,0
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,4067.034390338484,4163.021722745495,0,1,1,1
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,1566.8768650969298,1657.7593375484958,0,0,0,0
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,1021.6931814892607,1111.3585620879767,0,0,0,0
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,1714.6313486706422,1824.8256408838356,0,0,0,0
182,15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,48071.61,0,929.897770324576,1022.5746871166842,0,0,0,1
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,4795.419896441042,4885.692713809912,0,0,0,0
184,15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,55470.78,0,2256.5643434560006,2361.9226617642885,0,0,0,0
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1,-43.93005584828421,65.9263157380976,1,0,0,1
186,15654506,Chang,514,France,Male,32,8,0.0,2,1,0,95857.18,0,2120.648209768326,2224.280639038304,0,0,0,0
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,4204.202545092535,4307.022541616332,0,0,0,0
188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,2464.0140505519016,2577.214710211278,0,0,0,0
189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,5038.430676106052,5120.653419165427,0,0,0,0
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,4696.361475229201,4791.580713754433,0,0,0,0
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,2729.2370038626636,2819.801849446729,1,1,1,1
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,1001.6749130839283,1099.8509329912338,0,1,1,0
193,15756850,Golovanov,479,France,Male,40,1,0.0,2,0,0,114996.43,0,3111.451781904204,3215.705680445697,0,0,0,0
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,789.6584323022686,881.7090229118304,1,0,0,1
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,2254.724227810628,2352.787084302007,0,1,1,1
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0,531.3772858582262,634.5049501217759,0,0,0,0
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,1542.0493926365616,1642.2054323447985,0,0,0,0
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,3638.999843448714,3743.633362800081,0,0,0,0
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0,1812.943509204111,1903.0065333876576,0,0,0,0
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,1235.006028635932,1341.6377843152331,0,0,0,0
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,1301.2952918745978,1392.8962464730364,0,0,0,0
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,2484.9424023717547,2584.03529609103,0,1,1,0
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,3543.111379436684,3639.9896870590596,1,0,0,1
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,831.7319428930343,933.3706984994421,0,0,0,1
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,2879.343419683022,3000.3303182777545,0,1,1,0
206,15773039,Ku,550,France,Male,37,3,0.0,1,1,1,179670.31,0,4480.976156275113,4576.210686584879,0,0,0,1
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,3022.5204472094333,3117.279894787346,0,1,1,0
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,3544.580564456132,3667.6299556772683,0,0,0,0
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1,3338.0115878529186,3439.926466293405,0,0,0,0
